Marital_status,Application_mode,Application_order,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,Status
1,17,5,0,1,-0.8250342298800831,19,12,5,9,0.00041484624840820716,1,0,0,1,0,0,20,-0.3045174163605091,-2.4655379774633057,0,-1.4800337474133236,-2.0832243070150342,0,-0.2876857311500217,-2.7826911557917358,0,-1.4290139492910132,-1.8310853697339375,0,10.8,1.4,Dropout
1,15,1,0,1,2.0458046742478526,1,3,3,3,1.040849237257138,1,0,0,0,0,0,19,-0.3045174163605091,-0.13128815572234495,6,0.37330581555236303,0.6852169811434977,0,-0.2876857311500217,-0.1310017362457082,6,0.46855487253304884,0.6623828218128862,0,13.9,-0.3,Graduate
1,1,5,0,1,-0.8250342298800831,37,37,9,9,-0.17070923122013287,1,0,0,0,0,0,19,-0.3045174163605091,-0.13128815572234495,0,-1.4800337474133236,-2.0832243070150342,0,-0.2876857311500217,-0.1310017362457082,0,-1.4290139492910132,-1.8310853697339375,0,10.8,1.4,Dropout
1,17,2,0,1,-0.8250342298800831,38,37,5,3,-0.5266473123546985,1,0,0,1,1,0,20,-0.3045174163605091,-0.13128815572234495,8,0.37330581555236303,0.5722193775451904,0,-0.2876857311500217,-0.1310017362457082,10,0.15229340222903848,0.4312808918646442,0,9.4,-0.8,Graduate
2,39,1,1,1,-2.48709885858573,37,38,9,9,0.9723996062697218,0,0,0,1,1,0,45,-0.3045174163605091,-0.13128815572234495,9,0.06441588839141525,0.3556406373151012,0,-0.2876857311500217,-0.1310017362457082,6,0.46855487253304884,0.5407502271032851,0,13.9,-0.3,Graduate
2,39,1,1,19,0.013552923694129249,37,37,9,7,-0.8552055410942973,0,0,1,1,0,0,50,-0.3045174163605091,-0.5203297926791717,10,0.06441588839141525,0.26147596764984504,0,-0.2876857311500217,-0.5729499728367128,17,0.15229340222903848,0.2670768890066825,5,16.2,0.3,Graduate
1,1,1,0,1,0.6859336143977778,19,38,7,10,0.07570944033456686,1,0,0,1,1,1,18,-0.3045174163605091,0.25775348123448183,9,0.6821957427133108,0.5467949167355713,0,-0.2876857311500217,0.7528947369363009,8,1.1010778131410695,0.7861439869299056,0,15.5,2.8,Graduate
1,18,4,0,1,-1.0516794065217623,37,37,9,9,-0.9715699137729054,1,0,0,0,0,0,22,-0.3045174163605091,-0.5203297926791717,5,-1.4800337474133236,-2.0832243070150342,0,-0.2876857311500217,-0.5729499728367128,5,-1.4290139492910132,-1.8310853697339375,0,15.5,2.8,Dropout
1,1,3,0,1,0.30819165332831255,1,1,9,9,0.13731410822324205,0,0,0,1,1,1,21,-0.3045174163605091,-0.13128815572234495,8,0.37330581555236303,0.660498755356368,0,-0.2876857311500217,-0.1310017362457082,7,0.46855487253304884,0.7492632466054585,0,16.2,0.3,Graduate
1,1,1,0,1,0.3837400455422056,1,19,4,7,-0.29391856699748226,1,0,1,0,1,0,18,-0.3045174163605091,-0.13128815572234495,9,0.06441588839141525,0.17107788477119906,0,-0.2876857311500217,-0.1310017362457082,14,-0.7964910086829925,0.631974673135486,0,8.9,1.4,Dropout
1,1,1,0,1,0.4592884377560986,38,19,5,7,0.22629862850688223,1,0,0,1,1,0,18,-0.3045174163605091,-0.13128815572234495,6,0.37330581555236303,0.3556406373151012,0,-0.2876857311500217,-0.1310017362457082,7,0.15229340222903848,0.7596888975805671,0,13.9,-0.3,Graduate
1,1,1,0,1,0.23264326111441952,19,38,9,9,-0.5471822016509232,1,0,0,1,1,1,18,-0.3045174163605091,0.6467951181913085,8,0.6821957427133108,0.5298452761958249,0,-0.2876857311500217,0.7528947369363009,8,0.7848163428370591,0.5798464182599425,0,12.7,3.7,Graduate
1,1,2,0,1,0.005998084472740374,19,37,4,9,0.19891877611191527,1,0,0,1,1,0,19,-0.3045174163605091,-0.13128815572234495,6,-1.4800337474133236,-2.0832243070150342,0,-0.2876857311500217,-0.1310017362457082,0,-1.4290139492910132,-1.8310853697339375,0,12.7,3.7,Dropout
1,53,1,0,42,-1.7316149364467996,1,1,4,7,-1.0605544340565465,1,0,0,1,1,1,21,-0.3045174163605091,-0.13128815572234495,7,0.37330581555236303,0.007231359553653177,0,-0.2876857311500217,-0.1310017362457082,8,0.15229340222903848,0.17585244297448166,0,8.9,1.4,Graduate
1,1,1,0,1,1.214772359895029,38,37,5,5,0.671221229925089,1,0,0,1,1,1,18,-0.3045174163605091,-0.5203297926791717,7,-0.24447403876953253,0.5369076264207193,0,-0.2876857311500217,-0.5729499728367128,5,0.15229340222903848,0.3583013350388834,0,10.8,1.4,Graduate
1,1,1,0,1,-0.4472922688106179,19,37,9,3,-0.45135271826853984,1,0,0,1,1,0,20,-0.3045174163605091,-0.13128815572234495,6,0.06441588839141525,0.5270203361058672,0,-0.2876857311500217,-0.1310017362457082,7,-1.4290139492910132,-1.8310853697339375,0,15.5,2.8,Dropout
1,17,2,0,1,0.15709486890052646,19,1,5,4,0.00041484624840820716,1,0,0,1,1,0,18,-0.3045174163605091,0.25775348123448183,8,0.6821957427133108,0.5480308280249278,0,-0.2876857311500217,0.7528947369363009,8,1.1010778131410695,0.8226337653427859,0,15.5,2.8,Graduate
1,1,1,0,1,0.30819165332831255,3,19,3,5,0.6164615251351571,1,0,0,1,1,0,20,-0.3045174163605091,-0.5203297926791717,8,-0.24447403876953253,0.38859827169794076,1,-0.2876857311500217,-0.5729499728367128,8,-0.16396806807497186,0.40391355805498386,2,10.8,1.4,Graduate
1,1,3,0,1,-0.8250342298800831,1,1,9,8,-0.47873257066350683,0,0,0,1,1,1,21,-0.3045174163605091,-2.4655379774633057,0,-1.4800337474133236,-2.0832243070150342,0,-0.2876857311500217,-2.7826911557917358,0,-1.4290139492910132,-1.8310853697339375,0,11.1,0.6,Graduate
1,1,4,0,1,0.6859336143977778,19,19,1,1,-0.12279448952894118,1,0,0,1,1,0,18,-0.3045174163605091,0.6467951181913085,12,0.6821957427133108,0.459221773946883,0,-0.2876857311500217,0.7528947369363009,12,0.7848163428370591,0.5146860996655136,0,12.7,3.7,Graduate
1,1,4,0,1,-0.598389053238404,1,38,4,7,-0.848360577995555,1,0,0,1,1,1,19,-0.3045174163605091,-0.13128815572234495,8,0.37330581555236303,0.561625852207849,0,-0.2876857311500217,-0.1310017362457082,7,0.46855487253304884,0.4104295899144269,0,11.1,0.6,Graduate
